SN,Setting1,Setting2,Setting3,Setting4,Setting5,BDate,FileDate,TUT,Hrs/Day,NormDist x Values,NormDist y Values
11136000003242,0.02364997,0.259113658,0.335515958,0.351895034,0.02983164,9/4/2015,11/4/2016,88.74805556,0.20784088,537.1153846,0.001827826
11136000003251,0.030732574,0.23435972,0.725419492,0.006344166,0.003144416,9/4/2015,8/28/2017,753.0102778,1.040069444,540.2564103,0.001817311
11136000003258,0.000356176,0.001694731,0.19245479,0.605511315,0.199982626,9/4/2015,9/16/2016,767.4111111,2.030188125,543.3974359,0.001806429
11136000003267,0.1017342,0.86392012,0.02545284,0.002673936,0.006220387,9/9/2015,8/18/2016,374.3961111,1.088360788,546.5384615,0.001795187
11136000003270,0.002540687,0.984763533,0.008483451,0.001103608,0.003108414,9/9/2015,9/1/2017,907.1255556,1.254668818,549.6794872,0.001783591
11136000003272,0.006774962,0.036708616,0.148984704,0.77949422,0.02803655,9/9/2015,12/21/2016,292.9905556,0.624713338,552.8205128,0.001771651
11136000003275,0.004541097,0.034197433,0.034479469,0.185911245,0.740871275,9/9/2015,1/29/2018,535.7858333,0.613729477,555.9615385,0.001759374
11136000003278,0.010691812,0.62428015,0.06348068,0.009931216,0.291615272,9/9/2015,11/1/2017,319.5591667,0.407600978,559.1025641,0.001746768
11136000003287,0.000239348,0.000764515,0.998399714,0.000128614,0.000467986,9/9/2015,7/6/2016,3138.155,10.42576412,562.2435897,0.001733841
11136000003289,0.006353852,0.963985487,0.006447758,0.001587853,0.02162505,9/9/2015,4/4/2018,227.7708333,0.242826048,565.3846154,0.001720602
11136000003291,0.005874732,0.103387051,0.145537605,0.431396571,0.313804041,9/9/2015,11/14/2017,871.1036111,1.092978182,568.525641,0.001707059
11136000003296,0.001401489,0.007324655,0.010717835,0.552613518,0.42794058,,8/25/2016,144.4891667,#N/A,571.6666667,0.001693222
11136000003305,0.018738981,0.019487368,0.908310562,0.023415736,0.03004469,9/10/2015,1/22/2018,104.2983333,0.120576108,574.8076923,0.001679099
11136000003310,0.015299073,0.600725084,0.036728312,0.010215346,0.337029791,9/10/2015,4/5/2018,116.0019444,0.12366945,577.9487179,0.0016647
11136000003313,0.000774138,0.009539662,0.323822181,0.657168672,0.00869754,,5/13/2016,126.6641667,#N/A,581.0897436,0.001650032
